ARRIVAL_DELAY,DISTANCE,SCHEDULED_TIME,MONTH,SCHED_DEP_HOUR,SCHED_ARR_HOUR,FLIGHT_COUNT,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT
-19.0,966,168.0,5,11,13,118,7,FLL,IAH
-4.0,331,89.0,2,9,11,7,2,FAY,ATL
-20.0,967,156.0,9,10,14,240,2,SFO,DEN
2.0,1107,184.0,6,18,21,196,7,PHX,SEA
-5.0,262,70.0,9,7,8,240,3,SFO,SBA
-18.0,594,115.0,9,18,21,578,7,ORD,MDT
47.0,646,136.0,6,18,19,48,2,RDU,ORD
-10.0,406,86.0,10,5,6,4,3,15304,10397
-17.0,945,145.0,5,7,9,37,4,IND,RSW
1.0,489,111.0,1,6,8,9,5,PNS,IAH
26.0,944,182.0,3,19,22,180,4,JFK,MCO
-2.0,869,135.0,5,14,17,86,5,STL,TPA
7.0,328,81.0,1,17,19,33,1,JAX,CLT
16.0,630,105.0,1,17,19,438,4,DFW,SPI
20.0,349,85.0,1,13,15,184,5,MDW,MSP
-11.0,1399,210.0,5,11,12,164,7,MSP,SEA
0.0,969,165.0,5,15,17,118,2,DCA,MSY
36.0,986,164.0,5,19,21,181,5,DTW,DFW
13.0,2704,395.0,11,6,9,172,1,BOS,SFO
135.0,1124,162.0,3,15,19,164,7,MSP,BOS
15.0,293,64.0,3,9,10,438,6,DFW,MLU
-13.0,895,140.0,8,5,9,378,4,DEN,MDW
-13.0,547,115.0,6,14,16,118,5,DCA,ATL
19.0,585,117.0,7,7,9,24,4,TUL,ORD
-11.0,954,158.0,12,20,23,182,2,SEA,LAX
-11.0,507,106.0,3,9,11,179,2,CLT,TPA
-2.0,1533,224.0,9,13,16,182,6,SEA,FAI
-9.0,590,106.0,4,10,13,366,2,LAX,SLC
35.0,369,85.0,4,18,19,185,3,BWI,BOS
23.0,1069,161.0,12,19,22,118,4,FLL,JFK
-15.0,930,156.0,1,5,8,164,6,MSP,CLT
17.0,985,142.0,1,9,12,438,6,DFW,MCO
46.0,236,65.0,1,21,22,266,3,LAS,LAX
30.0,607,98.0,1,13,16,578,4,ORD,SYR
48.0,946,152.0,9,7,10,581,4,ATL,BOS
95.0,1065,186.0,8,14,17,217,1,EWR,FLL
-3.0,458,94.0,11,13,15,8,3,LBB,IAH
-11.0,106,52.0,10,15,16,47,1,10397,10980
0.0,697,122.0,2,18,20,67,4,SJC,SEA
44.0,334,88.0,9,6,8,164,3,MSP,ORD
60.0,289,70.0,10,14,15,8,7,10821,10257
21.0,591,118.0,2,20,21,581,1,ATL,MDW
-14.0,972,153.0,6,20,23,22,2,HPN,MCO
33.0,2677,367.0,5,17,20,182,4,SEA,HNL
41.0,1303,229.0,1,14,16,127,1,PHL,DFW
1.0,820,150.0,9,15,18,217,7,EWR,JAX
-16.0,983,155.0,4,10,13,181,6,DTW,TPA
11.0,331,80.0,5,13,14,4,7,LNK,MSP
-9.0,351,85.0,9,16,18,22,2,JAN,IAH
53.0,190,68.0,7,10,11,11,2,SHV,DFW
-12.0,501,98.0,3,12,14,1,3,HOB,IAH
43.0,563,123.0,8,20,22,172,2,BOS,CLE
91.0,482,104.0,6,17,19,7,5,BRO,DFW
26.0,611,120.0,4,17,18,185,4,BWI,MDW
-21.0,606,117.0,8,10,12,578,6,ORD,ATL
-19.0,1325,197.0,4,14,19,260,6,IAH,PHL
24.0,1487,228.0,1,21,0,118,2,FLL,MSP
14.0,621,110.0,9,13,14,196,4,PHX,SJC
-23.0,744,129.0,8,8,11,28,3,ABQ,IAH
-10.0,1190,179.0,1,7,11,260,7,IAH,IAD
14.0,794,155.0,1,11,14,13,1,SYR,ATL
-3.0,258,65.0,11,15,16,266,5,LAS,SAN
10.0,787,137.0,7,10,14,260,7,IAH,TPA
15.0,1739,234.0,11,6,12,67,1,PDX,ORD
-16.0,679,120.0,5,7,9,240,5,SFO,SEA
74.0,315,80.0,6,14,15,578,1,ORD,COU
16.0,774,132.0,6,19,20,581,4,ATL,GRB
91.0,391,85.0,12,18,19,121,2,SLC,DEN
18.0,386,86.0,7,21,23,164,4,MSP,BIS
87.0,164,56.0,12,16,17,438,6,DFW,CLL
9.0,1024,154.0,10,13,16,17,6,14747,11292
-3.0,1050,156.0,7,20,23,120,3,SAN,SEA
67.0,184,74.0,10,14,15,13,2,12953,10721
-19.0,983,164.0,8,11,14,124,3,TPA,DTW
-14.0,1276,203.0,1,14,16,164,4,MSP,PHX
13.0,903,140.0,3,16,18,60,2,MSY,MKE
-1.0,321,80.0,4,10,11,581,5,ATL,SDF
-9.0,216,51.0,4,10,11,7,3,ITO,HNL
-18.0,642,123.0,6,12,14,438,1,DFW,EVV
28.0,164,58.0,8,21,22,581,2,ATL,AVL
-3.0,466,95.0,5,7,8,4,3,LNK,ORD
15.0,1773,273.0,4,9,11,179,3,CLT,PHX
-7.0,628,116.0,11,8,8,378,3,DEN,LAS
-29.0,802,166.0,10,12,14,40,4,13930,11298
4.0,2677,340.0,8,22,6,68,3,HNL,SEA
-2.0,1020,165.0,7,7,10,164,3,MSP,LGA
-7.0,992,165.0,3,11,14,118,4,FLL,PHL
-3.0,599,128.0,1,8,9,179,3,CLT,ORD
-10.0,1504,228.0,10,7,9,8,5,10423,14771
19.0,214,72.0,6,8,10,73,1,BNA,ATL
17.0,1074,205.0,6,15,18,180,1,JFK,RSW
111.0,500,95.0,11,11,13,5,1,AEX,ATL
17.0,899,149.0,4,20,22,118,4,FLL,DCA
81.0,1066,160.0,8,20,0,52,3,MKE,MCO
76.0,896,152.0,3,17,19,52,5,MKE,DEN
-6.0,310,80.0,8,14,15,118,2,DCA,CLE
-14.0,601,125.0,8,12,13,118,6,DCA,MDW
27.0,733,144.0,12,21,23,229,1,LGA,ORD
38.0,631,97.0,3,22,23,438,5,DFW,BNA
-12.0,2677,350.0,10,12,21,1,4,12173,14747
211.0,2454,379.0,11,18,21,217,4,EWR,LAX
0.0,1448,204.0,6,18,21,182,3,SEA,ANC
-9.0,413,102.0,9,14,14,34,3,PIT,ORD
-17.0,2704,390.0,8,7,10,172,6,BOS,SFO
-27.0,1119,190.0,7,13,16,118,3,FLL,DFW
91.0,871,134.0,2,19,22,260,7,IAH,CVG
-15.0,405,92.0,9,19,21,181,6,DTW,DCA
19.0,360,85.0,10,9,11,40,1,13930,11076
15.0,533,99.0,9,21,21,581,5,ATL,BMI
40.0,86,56.0,8,12,13,60,1,SMF,SFO
51.0,522,112.0,8,16,18,578,5,ORD,XNA
-10.0,262,66.0,11,17,19,5,4,SBA,SFO
73.0,1709,264.0,1,21,23,124,6,MIA,DEN
15.0,967,156.0,10,15,16,26,3,11292,14771
-18.0,226,77.0,5,14,15,179,6,CLT,ATL
25.0,265,76.0,6,13,16,578,3,ORD,CVG
38.0,215,70.0,6,18,19,3,4,LSE,ORD
28.0,270,74.0,1,17,18,4,5,BPT,DFW
-14.0,733,133.0,8,8,12,578,3,ORD,LGA
60.0,293,75.0,1,16,17,5,5,MLU,DFW
54.0,2295,300.0,9,13,21,120,3,SAN,BWI
24.0,1635,225.0,6,12,18,240,3,SFO,IAH
-8.0,189,60.0,4,5,6,69,4,AUS,DAL
-7.0,516,100.0,8,13,13,10,6,BIS,DEN
-17.0,337,80.0,6,9,10,366,1,LAX,SFO
120.0,1011,155.0,6,20,23,214,4,MCO,BUF
223.0,867,125.0,1,18,21,578,1,ORD,BOS
33.0,362,75.0,7,20,22,90,7,OAK,ONT
-1.0,611,125.0,10,7,8,8,4,10821,13232
-33.0,1428,230.0,7,6,9,229,3,LGA,HOU
-8.0,228,71.0,3,15,15,181,2,DTW,MDW
14.0,255,60.0,7,17,18,196,7,PHX,LAS
-10.0,224,60.0,5,9,10,13,3,GEG,SEA
10.0,862,150.0,4,10,11,378,4,DEN,LAX
8.0,669,129.0,2,19,20,581,4,ATL,MKE
-15.0,795,135.0,8,9,10,9,1,MAF,LAS
-17.0,4962,581.0,9,20,12,68,6,HNL,EWR
-4.0,201,62.0,9,7,8,260,4,IAH,LFT
-7.0,599,110.0,2,20,23,240,3,SFO,SLC
11.0,746,156.0,9,17,19,217,5,EWR,ATL
-6.0,272,60.0,1,11,12,86,6,STL,BNA
-4.0,2116,316.0,11,20,22,581,1,ATL,SJC
-16.0,922,154.0,8,18,21,438,4,DFW,CAE
48.0,1679,217.0,12,23,5,378,6,DEN,PBI
71.0,977,175.0,11,14,17,578,1,ORD,AUS
128.0,1474,238.0,1,18,20,6,1,MDT,DEN
21.0,715,130.0,11,10,11,21,6,ELP,LAX
9.0,134,62.0,9,16,17,9,2,GRK,DFW
5.0,589,100.0,1,18,19,16,2,ICT,MDW
-3.0,239,60.0,4,12,13,116,3,HOU,DAL
-12.0,235,79.0,4,13,14,181,3,DTW,ORD
137.0,369,80.0,4,19,20,32,5,BUR,PHX
-12.0,1608,236.0,12,6,12,67,2,SJC,IAH
-13.0,621,110.0,2,15,16,196,7,PHX,SJC
120.0,925,156.0,5,18,21,260,4,IAH,ORD
-14.0,1127,179.0,12,16,19,118,5,FLL,DTW
-8.0,1269,184.0,2,6,11,28,7,ABQ,ATL
83.0,215,70.0,4,20,21,578,5,ORD,LSE
46.0,386,80.0,8,16,17,266,5,LAS,SJC
62.0,427,108.0,4,17,19,48,1,RDU,JFK
-5.0,909,156.0,8,7,9,378,3,DEN,SMF
30.0,356,85.0,2,16,18,581,1,ATL,RDU
18.0,725,155.0,3,6,7,229,6,LGA,MDW
17.0,1046,169.0,2,12,14,40,1,SJU,FLL
-11.0,692,120.0,9,11,14,68,2,MCI,ATL
-1.0,368,75.0,3,19,21,266,4,LAS,SLC
33.0,1121,197.0,2,19,22,124,4,MIA,DFW
-1.0,1179,186.0,2,4,6,3,5,PSE,MCO
61.0,414,94.0,6,16,18,266,6,LAS,SFO
-9.0,837,140.0,11,11,13,124,6,TPA,IND
18.0,738,124.0,2,7,10,578,4,ORD,HPN
38.0,239,60.0,5,10,11,116,4,HOU,DAL
-7.0,1599,211.0,4,12,16,581,3,ATL,STT
35.0,1788,290.0,12,7,10,124,7,TPA,PHX
26.0,782,136.0,4,15,16,581,5,ATL,ICT
27.0,802,147.0,7,14,16,438,4,DFW,ORD
15.0,447,94.0,5,16,17,581,6,ATL,CMH
35.0,106,50.0,11,19,20,581,2,ATL,CHA
179.0,204,67.0,7,18,20,124,7,TPA,MIA
61.0,134,51.0,5,16,17,9,1,GRK,DFW
25.0,209,61.0,1,17,18,366,1,LAX,FAT
241.0,387,80.0,5,17,18,13,1,LGB,SMF
117.0,545,112.0,5,14,16,164,5,MSP,ICT
-13.0,731,153.0,3,15,16,581,2,ATL,DFW
15.0,337,84.0,3,16,17,366,6,LAX,SFO
16.0,89,44.0,1,16,16,4,6,ACT,DFW
-15.0,377,80.0,11,18,20,185,5,BWI,MHT
83.0,802,165.0,5,20,23,578,7,ORD,DFW
16.0,197,65.0,7,19,20,118,4,FLL,TPA
26.0,181,50.0,7,19,20,120,1,DAL,OKC
-12.0,666,125.0,9,8,10,581,3,ATL,PHL
19.0,508,101.0,7,21,22,581,7,ATL,PHF
21.0,1246,205.0,2,17,19,120,1,DAL,LAX
144.0,299,77.0,9,21,23,578,4,ORD,DSM
-19.0,808,135.0,9,13,17,68,7,MCI,CLT
-1.0,937,150.0,10,18,20,3,4,10800,14747
-4.0,1346,196.0,8,12,18,60,4,SNA,IAH
20.0,1065,177.0,7,18,21,118,6,FLL,EWR
137.0,674,106.0,7,19,22,60,1,MSY,FLL
21.0,1096,195.0,6,17,20,229,3,LGA,MIA
15.0,843,150.0,1,12,14,40,2,SAT,PHX
-1.0,853,149.0,10,7,9,22,2,11298,13342
33.0,733,124.0,2,17,20,578,2,ORD,LGA
8.0,954,158.0,5,20,23,366,4,LAX,SEA
231.0,861,160.0,4,20,21,172,3,BOS,MDW
214.0,1754,235.0,12,23,5,378,1,DEN,BOS
-24.0,2615,366.0,9,9,12,366,6,LAX,LIH
-26.0,651,130.0,11,6,7,120,4,DAL,DEN
-2.0,364,78.0,1,13,14,438,4,DFW,SGF
16.0,1744,270.0,9,22,1,578,7,ORD,LAX
20.0,271,70.0,11,15,15,14,1,SDF,MDW
242.0,337,75.0,12,17,18,366,5,LAX,SFO
-17.0,2704,339.0,10,13,22,15,5,14771,10721
230.0,588,118.0,1,16,18,578,2,ORD,ICT
24.0,425,109.0,2,17,19,9,1,ABE,DTW
-19.0,261,57.0,5,6,6,3,1,FAI,ANC
23.0,967,170.0,12,21,22,378,3,DEN,SFO
67.0,812,157.0,4,10,12,36,5,CVG,DFW
12.0,500,113.0,8,16,18,179,1,CLT,DTW
-29.0,711,145.0,8,16,17,217,1,EWR,MDW
-6.0,191,64.0,8,11,12,260,1,IAH,SAT
113.0,812,164.0,11,19,20,36,4,CVG,DFW
51.0,2176,317.0,8,20,22,127,6,PHL,LAS
-8.0,1426,211.0,7,17,19,164,7,MSP,PDX
-5.0,2176,284.0,10,11,18,17,6,12889,14100
32.0,67,54.0,2,14,15,52,4,MKE,ORD
-7.0,954,165.0,1,13,16,266,1,LAS,BLI
216.0,308,70.0,12,10,11,67,4,SJC,LAX
20.0,462,103.0,6,10,12,578,5,ORD,FSD
-26.0,1212,227.0,2,6,9,19,1,ORF,DFW
4.0,409,104.0,11,15,17,73,1,BNA,ORD
1.0,1218,170.0,12,8,12,116,1,HOU,DCA
200.0,264,88.0,5,19,21,11,1,ROC,JFK
43.0,867,167.0,7,16,18,172,3,BOS,ORD
-11.0,606,124.0,7,13,16,578,4,ORD,ATL
-3.0,399,83.0,5,13,14,118,3,DCA,BOS
12.0,432,90.0,10,22,23,47,4,10397,12339
-10.0,1346,191.0,9,8,13,60,6,SNA,IAH
5.0,308,70.0,11,18,19,67,7,SJC,LAX
64.0,721,135.0,12,21,0,86,3,STL,AUS
-27.0,957,175.0,12,6,7,118,1,FLL,HOU
240.0,3711,443.0,6,20,8,29,1,OGG,DFW
-11.0,1703,230.0,7,11,17,378,1,DEN,FLL
-9.0,337,75.0,3,20,22,366,2,LAX,OAK
13.0,2288,351.0,2,8,11,77,3,IAD,LAX
3.0,1533,208.0,8,0,5,3,2,FAI,SEA
25.0,304,80.0,2,11,11,196,1,PHX,SAN
-9.0,214,69.0,8,19,20,581,2,ATL,SAV
24.0,620,113.0,3,20,22,581,1,ATL,MDT
16.0,370,86.0,2,19,19,196,5,PHX,LAX
15.0,1972,262.0,9,8,16,196,2,PHX,MIA
35.0,1416,221.0,1,15,17,45,7,RSW,MSP
-16.0,3784,459.0,6,17,6,68,3,HNL,DFW
5.0,637,123.0,6,6,8,9,6,SBN,EWR
30.0,957,158.0,8,18,21,214,6,MCO,DTW
1.0,550,110.0,7,13,15,67,1,PDX,SFO
-12.0,425,98.0,3,8,8,581,1,ATL,MSY
-29.0,1616,223.0,2,6,11,67,7,PDX,DFW
63.0,1182,187.0,8,21,23,118,3,FLL,ORD
41.0,363,87.0,8,21,22,29,5,ONT,SFO
-2.0,780,127.0,12,12,14,581,3,ATL,HPN
-19.0,198,78.0,3,12,14,229,3,LGA,SYR
31.0,224,78.0,4,12,13,438,3,DFW,IAH
112.0,425,85.0,7,16,18,60,3,MSY,ATL
15.0,746,147.0,9,17,20,581,4,ATL,EWR
44.0,323,70.0,11,6,7,6,1,AMA,DAL
112.0,372,90.0,2,18,19,60,5,SNA,SFO
0.0,382,90.0,10,6,8,1,3,10874,11618
-8.0,413,88.0,10,17,20,40,4,13930,14122
42.0,604,120.0,7,18,19,6,3,MOT,DEN
-4.0,224,55.0,7,16,17,182,7,SEA,GEG
134.0,1090,165.0,7,20,21,69,3,AUS,LAS
41.0,223,63.0,8,15,16,10,2,FAR,MSP
-20.0,802,151.0,9,22,0,438,2,DFW,ORD
-14.0,872,138.0,8,15,15,69,4,AUS,PHX
168.0,874,142.0,4,17,20,40,5,SAT,ATL
251.0,1204,175.0,12,19,22,124,4,TPA,MHT
19.0,1990,333.0,2,17,21,180,3,JFK,SLC
-20.0,259,74.0,4,17,18,581,5,ATL,CHS
53.0,937,140.0,6,22,0,116,5,HOU,MDW
-8.0,667,115.0,9,19,21,214,4,MCO,RIC
-5.0,119,58.0,6,8,9,196,1,PHX,FLG
15.0,258,70.0,11,17,19,120,1,SAN,LAS
18.0,802,159.0,5,17,20,578,3,ORD,DFW
-27.0,802,154.0,9,7,9,578,5,ORD,DFW
23.0,399,87.0,2,17,19,118,4,DCA,BOS
69.0,632,114.0,4,19,21,179,7,CLT,FLL
-1.0,600,113.0,1,7,9,179,6,CLT,RSW
57.0,337,70.0,7,16,17,366,1,LAX,SFO
50.0,1452,228.0,7,22,0,77,3,IAD,DEN
34.0,577,115.0,7,8,10,185,4,BWI,ATL
-5.0,666,125.0,7,7,9,581,6,ATL,PHL
22.0,604,95.0,6,21,23,86,7,STL,MSY
34.0,304,65.0,8,19,20,196,2,PHX,SAN
-22.0,1749,235.0,12,14,21,266,7,LAS,DTW
15.0,209,61.0,3,14,15,366,5,LAX,FAT
59.0,547,115.0,6,19,21,118,4,DCA,ATL
-6.0,252,68.0,6,9,11,164,1,MSP,GRB
-4.0,270,70.0,8,15,16,581,3,ATL,JAX
-6.0,500,99.0,6,7,8,4,7,ILM,LGA
58.0,333,70.0,6,20,21,67,3,SJC,ONT
-10.0,387,84.0,10,15,16,10,3,14869,10620
30.0,1171,160.0,3,17,22,120,3,SAN,DFW
-3.0,328,75.0,1,17,19,28,6,ABQ,PHX
-13.0,227,66.0,7,5,6,7,7,FSM,DFW
7.0,164,59.0,3,10,11,5,1,AVL,ATL
-33.0,733,168.0,4,17,18,229,6,LGA,ORD
15.0,1218,165.0,11,20,23,116,2,HOU,DCA
-10.0,1839,255.0,12,9,14,61,6,CLE,SJU
-19.0,213,67.0,10,8,10,40,5,13930,15295
21.0,319,65.0,5,19,20,9,1,MAF,DAL
-4.0,601,125.0,9,11,12,118,5,DCA,MDW
-13.0,717,130.0,6,14,15,19,3,ORF,ORD
15.0,2475,385.0,12,9,12,180,7,JFK,LAX
4.0,2588,377.0,5,7,10,172,4,BOS,SAN
39.0,2402,351.0,7,20,23,127,2,PHL,LAX
-5.0,669,122.0,5,8,9,581,7,ATL,MKE
8.0,337,84.0,9,18,20,366,1,LAX,OAK
6.0,2449,334.0,10,17,19,19,5,12892,12402
70.0,1068,181.0,6,11,14,45,2,RSW,EWR
19.0,853,140.0,11,14,15,378,4,DEN,SAN
-24.0,685,125.0,4,7,9,438,7,DFW,CID
39.0,1194,182.0,3,20,23,124,5,MIA,BDL
-37.0,1091,196.0,1,14,17,61,7,CLE,IAH
135.0,983,158.0,7,13,16,124,7,TPA,DTW
8.0,393,87.0,2,17,19,68,7,MCI,MSP
0.0,695,136.0,5,6,8,8,1,CHA,DFW
-52.0,2475,378.0,4,6,10,180,2,JFK,LAX
-4.0,935,155.0,8,15,16,24,2,TUL,PHX
31.0,719,164.0,4,18,19,217,3,EWR,ORD
47.0,404,102.0,3,15,17,217,1,EWR,CLE
-29.0,1183,166.0,2,6,10,60,5,MSY,LGA
-2.0,588,119.0,5,16,17,121,3,SLC,SNA
-5.0,460,93.0,8,17,19,68,6,MCI,DFW
18.0,1491,255.0,1,8,11,185,6,BWI,DEN
41.0,641,115.0,9,18,21,52,3,MKE,BWI
-7.0,1521,205.0,1,9,15,266,6,LAS,MDW
-14.0,929,139.0,10,16,19,22,2,11298,15304
26.0,1464,225.0,6,11,12,438,3,DFW,SFO
38.0,1121,167.0,3,20,23,214,7,MCO,BOS
15.0,896,155.0,3,5,7,52,3,MKE,DEN
22.0,546,105.0,12,19,21,86,1,STL,DAL
2.0,89,54.0,10,17,18,1,3,14689,12892
20.0,2446,372.0,10,9,13,16,1,12478,14679
134.0,2288,300.0,7,18,2,366,4,LAX,IAD
-21.0,1846,285.0,10,14,16,40,2,13930,14771
7.0,867,140.0,4,6,8,182,3,SEA,LAS
144.0,762,138.0,5,16,18,581,1,ATL,LGA
3.0,308,70.0,11,18,19,366,5,LAX,SJC
15.0,432,99.0,2,15,17,581,4,ATL,DAY
20.0,883,140.0,2,19,21,60,4,PBI,BWI
24.0,1036,160.0,6,6,9,12,6,FNT,TPA
36.0,187,68.0,4,22,0,180,6,JFK,BOS
40.0,990,170.0,3,22,23,214,2,MCO,MDW
34.0,2715,374.0,4,18,21,2,7,BLI,HNL
-7.0,601,100.0,8,5,7,22,2,RNO,PHX
-14.0,1251,182.0,9,6,10,68,7,MCI,MIA
45.0,867,142.0,6,19,22,578,5,ORD,BOS
28.0,951,147.0,3,19,21,60,4,PBI,PHL
-15.0,406,80.0,1,18,19,11,5,DAY,BWI
0.0,163,43.0,10,19,19,1,4,12758,12173
21.0,529,120.0,12,6,8,217,4,EWR,CLT
-10.0,909,150.0,9,17,18,378,7,DEN,SMF
119.0,1535,210.0,11,11,16,366,7,LAX,MSP
18.0,2248,292.0,1,8,16,266,4,LAS,JFK
-12.0,899,147.0,4,20,23,118,2,FLL,DCA
68.0,237,60.0,7,19,20,24,6,TUL,DAL
22.0,237,55.0,1,17,18,120,5,DAL,TUL
-8.0,343,79.0,9,7,9,578,6,ORD,CAK
-9.0,342,75.0,2,12,13,67,6,SJC,SNA
4.0,461,86.0,8,6,7,8,3,GSO,LGA
35.0,228,65.0,7,18,18,181,3,DTW,MDW
3.0,100,36.0,1,20,21,68,2,HNL,OGG
33.0,337,75.0,12,20,22,240,3,SFO,LAX
-24.0,1726,263.0,2,17,19,578,5,ORD,SNA
28.0,604,101.0,2,19,21,438,2,DFW,PNS
55.0,265,78.0,6,20,20,36,6,CVG,ORD
87.0,967,167.0,12,18,20,378,5,DEN,SFO
37.0,646,120.0,2,17,18,196,1,PHX,OAK
-2.0,248,60.0,5,18,19,40,2,SAT,DAL
-10.0,391,89.0,12,11,13,378,7,DEN,SLC
15.0,405,80.0,8,7,8,184,6,MDW,MCI
57.0,1771,255.0,7,17,18,36,4,CMH,LAS
-13.0,787,149.0,1,9,10,124,1,TPA,IAH
21.0,258,65.0,4,19,20,266,4,LAS,SAN
-27.0,575,101.0,3,12,15,3,3,MFR,SLC
254.0,551,100.0,12,11,14,21,7,ELP,DFW
9.0,1728,265.0,10,11,13,11,5,13232,14679
-21.0,1276,184.0,2,12,16,196,4,PHX,MSP
-8.0,468,99.0,9,13,15,260,7,IAH,MEM
-7.0,1300,210.0,5,17,19,60,2,MSY,PHX
33.0,280,76.0,1,19,20,127,1,PHL,BOS
37.0,758,125.0,2,16,18,214,4,MCO,IAD
-3.0,867,141.0,7,19,22,266,6,LAS,SEA
100.0,1012,175.0,6,17,19,124,5,TPA,ORD
-29.0,2777,381.0,11,21,5,68,4,HNL,ANC
25.0,386,81.0,7,17,18,10,5,BIS,MSP
98.0,950,177.0,2,13,16,229,2,LGA,MCO
17.0,337,88.0,8,20,21,366,1,LAX,SFO
-10.0,1091,173.0,5,7,11,260,4,IAH,CLE
25.0,977,165.0,6,20,21,37,1,IND,DEN
-17.0,1984,275.0,6,6,7,124,3,TPA,LAS
21.0,1005,175.0,3,18,20,214,5,MCO,ORD
23.0,563,110.0,8,11,13,229,6,LGA,MYR
117.0,1678,240.0,7,7,8,36,5,CVG,LAS
-18.0,2454,333.0,9,11,20,366,1,LAX,EWR
-7.0,228,64.0,2,10,11,164,5,MSP,MSN
-10.0,1235,199.0,8,14,18,260,5,IAH,BWI
40.0,1167,196.0,8,19,21,217,4,EWR,MSY
31.0,802,140.0,1,15,18,438,4,DFW,ORD
107.0,2106,260.0,2,16,23,266,1,LAS,BWI
-15.0,731,128.0,9,8,11,438,3,DFW,ATL
-10.0,94,38.0,10,14,15,1,5,14843,15027
62.0,301,98.0,3,16,18,180,3,JFK,BUF
22.0,1120,180.0,12,14,16,45,7,RSW,ORD
179.0,738,146.0,7,17,18,22,2,HPN,ORD
9.0,364,88.0,6,12,13,438,4,DFW,SGF
52.0,868,159.0,6,18,19,438,2,DFW,PHX
-9.0,731,130.0,6,8,11,438,2,DFW,ATL
-18.0,1448,230.0,12,6,8,182,7,SEA,ANC
-9.0,1448,218.0,11,13,16,182,4,SEA,ANC
20.0,441,80.0,10,17,18,10,1,12191,13158
42.0,1749,277.0,3,17,19,181,7,DTW,LAS
-15.0,918,153.0,8,20,23,438,7,DFW,JAX
12.0,237,55.0,6,14,15,68,4,MCI,STL
-17.0,1262,172.0,8,23,4,196,5,PHX,STL
-11.0,1107,159.0,3,11,14,124,1,MIA,STT
41.0,793,125.0,11,20,22,120,4,DAL,MDW
-8.0,331,84.0,6,11,12,164,1,MSP,LNK
188.0,296,65.0,7,16,17,120,3,DAL,LIT
